iter	Logloss
0	0.6598134632
1	0.6323888715
2	0.6089441997
3	0.5863307621
4	0.5672372956
5	0.5506301607
6	0.5373030669
7	0.5236212924
8	0.513286999
9	0.5033455987
10	0.4939796861
11	0.4865614086
12	0.4795067518
13	0.4730678358
14	0.4665272931
15	0.460846729
16	0.4561609309
17	0.4528360165
18	0.4487278727
19	0.4451548492
20	0.4417447641
21	0.4389175433
22	0.4365085803
23	0.4341196598
24	0.4318144216
25	0.4295258978
26	0.4284649091
27	0.4265370138
28	0.4246231649
29	0.4226928101
30	0.4215121158
31	0.4198824011
32	0.4187397707
33	0.4175261485
34	0.4160157121
35	0.4148233163
36	0.4135473858
37	0.4128769177
38	0.4120526298
39	0.4113299442
40	0.4105164331
41	0.4097567309
42	0.4089634874
43	0.4083967652
44	0.4078888256
45	0.4073104222
46	0.4067895307
47	0.4063519943
48	0.4058001579
49	0.4053083206
50	0.4045200669
51	0.4042033251
52	0.4038911686
53	0.403730712
54	0.4032525528
55	0.4028684752
56	0.4025300279
57	0.4019645415
58	0.401494366
59	0.401369895
60	0.400858743
61	0.4003129432
62	0.3999932067
63	0.3997621979
64	0.3994318077
65	0.3992797273
66	0.3990513906
67	0.3982600872
68	0.3979482693
69	0.397770133
70	0.39771475
71	0.3975408991
72	0.3967931825
73	0.3966828097
74	0.3964909397
75	0.3961800601
76	0.3959073572
77	0.3956784068
78	0.3951735992
79	0.3950227353
80	0.394616628
81	0.3944654085
82	0.3943206189
83	0.393996706
84	0.3935737962
85	0.3933831002
86	0.3933001981
87	0.3931692012
88	0.3930903262
89	0.3930162427
90	0.3929954377
91	0.3929872226
92	0.3929537998
93	0.3927437166
94	0.3926557214
95	0.3921989769
96	0.3920410511
97	0.391835852
98	0.3916046874
99	0.3915050084
100	0.3914038477
101	0.3912184885
102	0.3909695974
103	0.3908392318
104	0.3906659225
105	0.3904021547
106	0.3901621756
107	0.3899322649
108	0.3898579343
109	0.3898579342
110	0.3898341004
111	0.3897642498
112	0.3897609487
113	0.38951024
114	0.3893999615
115	0.3893912101
116	0.389192356
117	0.3888707435
118	0.3884141438
119	0.3881253162
120	0.3879219039
121	0.3877929736
122	0.3876260637
123	0.3875800854
124	0.3875795819
125	0.3875623235
126	0.3875623159
127	0.3875135134
128	0.3875135063
129	0.3874218799
130	0.3874081316
131	0.3873635328
132	0.3871817404
133	0.3869893033
134	0.3868546873
135	0.3866799282
136	0.3865339081
137	0.3865339044
138	0.3862703275
139	0.3862390356
140	0.385917136
141	0.3858618691
142	0.3858360659
143	0.3854289619
144	0.3853664717
145	0.3853664717
146	0.385284652
147	0.3849931536
148	0.3848318369
149	0.3846972362
150	0.3846805845
151	0.3843970671
152	0.3843066581
153	0.3841148518
154	0.3838587556
155	0.383711592
156	0.3835780122
157	0.3834379231
158	0.3833224818
159	0.3830425727
160	0.3826752138
161	0.3822339098
162	0.3820808722
163	0.3820034917
164	0.381954862
165	0.3818171223
166	0.3817595088
167	0.3814293288
168	0.3814227061
169	0.3813668486
170	0.3813025942
171	0.3811230047
172	0.3809162066
173	0.3807719255
174	0.3807713133
175	0.3807108382
176	0.3803416763
177	0.3800915727
178	0.3797907686
179	0.3796659021
180	0.3794240128
181	0.3791579604
182	0.3789423791
183	0.3788441783
184	0.3787278975
185	0.3785240461
186	0.3781213798
187	0.3778354346
188	0.3777162166
189	0.3777051572
190	0.377363849
191	0.3770930196
192	0.3766362581
193	0.3765747639
194	0.376245175
195	0.3760620231
196	0.3757380928
197	0.3752281529
198	0.3751822072
199	0.3747854451
200	0.3744502995
201	0.3743061982
202	0.3740747628
203	0.3737810336
204	0.373661323
205	0.3735061931
206	0.3730354077
207	0.3725976234
208	0.3723506644
209	0.3722886547
210	0.3722292852
211	0.371788808
212	0.3717530343
213	0.3713930909
214	0.3711503561
215	0.3709480371
216	0.3708011101
217	0.3705590652
218	0.3704075121
219	0.3703095043
220	0.370207316
221	0.3699344362
222	0.3696742084
223	0.3692986559
224	0.3692095802
225	0.3691098674
226	0.3690414553
227	0.3689027479
228	0.3686309142
229	0.3685312539
230	0.3683420166
231	0.3682398003
232	0.3679978336
233	0.3679174021
234	0.3678080404
235	0.3675179689
236	0.3674613484
237	0.3672548324
238	0.3671994306
239	0.367079085
240	0.3667700078
241	0.3666458138
242	0.3662744672
243	0.3661112615
244	0.3661105108
245	0.3659474499
246	0.3658965371
247	0.365532708
248	0.3652364481
249	0.3650684104
250	0.3649195465
251	0.3647595691
252	0.364403025
253	0.3640372604
254	0.3638828189
255	0.3638105765
256	0.3634621463
257	0.3633676519
258	0.3632868367
259	0.3631311683
260	0.3630880347
261	0.362960172
262	0.3628724287
263	0.3625944639
264	0.3624131975
265	0.3621905892
266	0.3618938889
267	0.3617572495
268	0.3617008649
